station_number,start_date,end_date,closed_info,remarks
44,12-31,1-5,年末年始,
81,,,火曜日,
81,,,年末年始,
52,1-5,12-29,月曜日,
52,12-30,1-4,年末年始,
99,12-1,12-31,木曜日,
99,12-29,1-3,年末年始,
125,1-1,12-31,火曜日,
53,1月1日,,年始,
107,12-31,1-5,年末年始,
22,12-29,1-3,年末年始,
22,1-4,3-31,定休日なし,
22,4-1,12-28,月曜日,月曜日が祝日の場合は翌日
24,4-8,4-14,メンテナンス休館,
24,12-26,1-1,年末年始,
45,12-30,1-3,年末年始,他、3月・9月の棚卸日に休館
13,1-1,1-2,年始,10月にメンテナンス休館あり
76,,,年末年始,
51,12-30,1-3,年末年始,
100,12-31,1-5,年末年始,
83,12-31,1-3,年末年始,
68,1-1,12-31,火曜日,火曜日が祝日の場合は翌日
118,,,年末年始,
70,1月1日,,年始,
101,1-1,1-2,年始,
15,12-30,1-6,年末年始,
15,1-7,12-29,月曜日,月曜日が祝日の場合は翌日（GW・夏休み期間は定休日なし）
79,12-31,1-1,年末年始,
105,12-31,1-1,年末年始,
30,1-1,12-31,定休日なし,
16,,,月曜日,
16,,,年末年始,
112,7-1,8-31,定休日なし,
112,9-1,6-30,火曜日,火曜日が祝日の場合は翌日
112,12-31,1-5,年末年始,
4,GW,,定休日なし,
4,8-1,8-31,定休日なし,
4,9-1,7-31,水曜日,水曜日が祝日の場合は翌日
4,12-31,1-2,年末年始,
63,1-6,12-28,定休日なし,
63,12-29,1-5,年末年始,
59,1-6,12-28,月曜日,
59,12-29,1-5,年末年始,
11,12-30,1-3,年末年始,
